"date","difficulty","median_sec","vs_weekday"
"2015-01-01","Average",1475,-17
"2015-01-02","Average",1858,-12
"2015-01-03","Hard",61,1
"2015-01-04","Hard",94,11
"2015-01-05","Easy",548,-18
"2015-01-06","Very Easy",704,-38
"2015-01-07","Average",1848,-3
"2015-01-08","Very Hard",62,55
"2015-01-09","Hard",2705,3
"2015-01-10","Hard",3555,1
"2015-01-11","Average",79,-5
"2015-01-12","Hard",914,4
"2015-01-13","Easy",649,-26
"2015-01-14","Very Easy",738,-39
"2015-01-15","Hard",3320,11
"2015-01-16","Hard",3296,8
"2015-01-17","Hard",63,12
"2015-01-18","Hard",90,1
"2015-01-19","Average",675,-2
"2015-01-20","Average",1152,-8
"2015-01-21","Very Hard",2614,17
"2015-01-22","Hard",3078,0
"2015-01-23","Hard",3331,8
"2015-01-24","Hard",3381,3
"2015-01-25","Average",2682,-17
"2015-01-26","Average",589,-8
"2015-01-27","Average",851,-12
"2015-01-28","Average",1357,-4
"2015-01-29","Very Easy",1342,-31
"2015-01-30","Easy",1429,-26
"2015-01-31","Very Hard",70,31
"2015-02-01","Hard",94,10
"2015-02-02","Hard",1189,9
"2015-02-03","Hard",1140,2
"2015-02-04","Hard",1720,5
"2015-02-05","Easy",1415,-27
"2015-02-06","Very Hard",62,38
"2015-02-07","Hard",64,12
"2015-02-08","Average",65,-7
"2015-02-09","Average",609,-12
"2015-02-10","Average",814,-14
"2015-02-11","Average",999,-16
"2015-02-12","Hard",3076,-1
"2015-02-13","Average",2022,-13
"2015-02-14","Average",2571,-13
"2015-02-15","Average",3399,-9
"2015-02-16","Average",590,-12
"2015-02-17","Easy",644,-27
"2015-02-18","Very Easy",667,-39
"2015-02-19","Average",2174,-10
"2015-02-20","Easy",1608,-20
"2015-02-21","Hard",60,10
"2015-02-22","Average",2923,-13
"2015-02-23","Very Easy",428,-38
"2015-02-24","Hard",1032,-1
"2015-02-25","Average",1068,-16
"2015-02-26","Hard",2720,-1
"2015-02-27","Average",2078,-9
"2015-02-28","Average",3533,-1
"2015-03-01","Average",85,-5
"2015-03-02","Hard",1730,5
"2015-03-03","Easy",732,-23
"2015-03-04","Hard",2083,4
"2015-03-05","Very Easy",1273,-31
"2015-03-06","Average",2200,-5
"2015-03-07","Hard",67,12
"2015-03-08","Hard",96,12
"2015-03-09","Average",537,-14
"2015-03-10","Hard",1037,0
"2015-03-11","Hard",1929,9
"2015-03-12","Easy",1319,-20
"2015-03-13","Average",1783,-13
"2015-03-14","Very Easy",2070,-32
"2015-03-15","Very Hard",98,15
"2015-03-16","Average",541,-14
"2015-03-17","Average",863,-8
"2015-03-18","Very Easy",781,-29
"2015-03-19","Average",1537,-14
"2015-03-20","Hard",2953,1
"2015-03-21","Hard",62,1
"2015-03-22","Average",2972,-11
"2015-03-23","Easy",548,-18
"2015-03-24","Average",913,-5
"2015-03-25","Very Hard",2845,33
"2015-03-26","Easy",1300,-22
"2015-03-27","Average",2954,-10
"2015-03-28","Very Easy",1713,-30
"2015-03-29","Very Hard",111,42
"2015-03-30","Easy",507,-18
"2015-03-31","Easy",662,-21
"2015-04-01","Average",1218,-6
"2015-04-02","Hard",2725,9
"2015-04-03","Average",1859,-9
"2015-04-04","Average",3560,-5
"2015-04-05","Hard",90,5
"2015-04-06","Average",534,-10
"2015-04-07","Easy",617,-22
"2015-04-08","Average",1011,-18
"2015-04-09","Very Hard",3182,31
"2015-04-10","Average",2265,-10
"2015-04-11","Hard",64,4
"2015-04-12","Average",63,-9
"2015-04-13","Hard",791,5
"2015-04-14","Very Hard",2846,35
"2015-04-15","Very Hard",2275,21
"2015-04-16","Average",1432,-18
"2015-04-17","Hard",2271,-1
"2015-04-18","Average",3227,-9
"2015-04-19","Very Hard",106,21
"2015-04-20","Average",842,-2
"2015-04-21","Very Hard",1767,20
"2015-04-22","Average",1236,-13
"2015-04-23","Hard",2614,0
"2015-04-24","Very Hard",64,29
"2015-04-25","Average",2414,-14
"2015-04-26","Easy",2737,-24
"2015-04-27","Hard",843,6
"2015-04-28","Hard",1279,11
"2015-04-29","Average",1251,-3
"2015-04-30","Average",1589,-5
"2015-05-01","Hard",2308,3
"2015-05-02","Hard",60,5
"2015-05-03","Hard",97,4
"2015-05-04","Average",654,-2
"2015-05-05","Hard",1610,10
"2015-05-06","Average",1379,-3
"2015-05-07","Hard",3385,13
"2015-05-08","Average",2114,-4
"2015-05-09","Very Easy",1603,-34
"2015-05-10","Hard",96,6
"2015-05-11","Very Easy",379,-41
"2015-05-12","Hard",1400,1
"2015-05-13","Average",976,-15
"2015-05-14","Very Hard",3434,29
"2015-05-15","Hard",3452,9
"2015-05-16","Hard",62,14
"2015-05-17","Very Easy",1950,-43
"2015-05-18","Easy",479,-20
"2015-05-19","Average",1179,-1
"2015-05-20","Easy",865,-26
"2015-05-21","Average",2929,-5
"2015-05-22","Very Easy",1074,-44
"2015-05-23","Average",2208,-18
"2015-05-24","Very Hard",113,22
"2015-05-25","Average",538,-8
"2015-05-26","Average",1023,-7
"2015-05-27","Easy",794,-26
"2015-05-28","Hard",2266,6
"2015-05-29","Average",2487,-2
"2015-05-30","Very Easy",1769,-30
"2015-05-31","Average",3137,-17
"2015-06-01","Average",542,-8
"2015-06-02","Easy",788,-19
"2015-06-03","Average",952,-13
"2015-06-04","Average",1743,-16
"2015-06-05","Average",1935,-12
"2015-06-06","Hard",3547,11
"2015-06-07","Easy",63,-21
"2015-06-08","Average",633,-9
"2015-06-09","Very Easy",641,-35
"2015-06-10","Average",1183,-7
"2015-06-11","Average",1757,-8
"2015-06-12","Hard",3150,2
"2015-06-13","Average",2579,-6
"2015-06-14","Average",89,-3
"2015-06-15","Hard",793,3
"2015-06-16","Average",1010,-4
"2015-06-17","Hard",1184,7
"2015-06-18","Average",2253,-1
"2015-06-19","Average",2228,-6
"2015-06-20","Easy",1686,-28
"2015-06-21","Hard",82,5
"2015-06-22","Average",495,-15
"2015-06-23","Average",1125,-7
"2015-06-24","Average",1004,-12
"2015-06-25","Average",1858,-6
"2015-06-26","Easy",1452,-26
"2015-06-27","Hard",62,12
"2015-06-28","Easy",2541,-24
"2015-06-29","Average",506,-11
"2015-06-30","Very Easy",626,-33
"2015-07-01","Hard",1119,0
"2015-07-02","Very Hard",65,36
"2015-07-03","Easy",1410,-22
"2015-07-04","Average",1925,-18
"2015-07-05","Average",3238,-15
"2015-07-06","Easy",492,-19
"2015-07-07","Average",1118,-1
"2015-07-08","Average",1024,-10
"2015-07-09","Hard",2915,0
"2015-07-10","Average",2341,-1
"2015-07-11","Hard",3300,5
"2015-07-12","Average",3599,-9
